0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1.0,0.0,24.0,1.0,0.0,-2.0,-8.0,10.0,56.0,-2.0,78.0,0.0,66.0,-23.0,22.0,-11.0,13.0,-16.0,24.0,0.0,34.0,-8.0,56.0,-22.0,139.0,-34.0,38.6,6.8,96.0
1.0,0.0,66.0,20.0,47.0,22.0,-5.0,33.0,58.0,4.0,54.0,-3.0,-66.0,108.0,40.0,9.0,20.0,8.0,7.0,-10.0,47.0,-7.0,29.0,-5.0,-9.0,-12.0,56.6,-4.4,97.0
1.0,0.0,42.0,12.0,75.0,6.0,78.0,202.0,2.0,6.0,-76.0,8.0,-60.0,120.0,13.0,1.0,7.0,24.0,3.0,33.0,-6.0,-2.0,2.0,-3.0,6.0,-8.0,14.0,0.6,98.0
1.0,0.0,5.0,-10.0,-28.0,-3.0,-13.0,-10.0,-67.0,-2.0,-78.0,6.0,-51.0,-12.0,-2.0,13.0,1.0,15.0,0.0,12.0,-31.0,22.0,-30.0,4.0,6.0,-2.0,-46.8,-13.0,99.0
1.0,0.0,-46.0,-8.0,-69.0,8.0,-57.0,-21.0,-70.0,-7.0,-84.0,-3.0,-60.0,-26.0,-50.0,-3.0,-49.0,5.0,-22.0,-5.0,-77.0,2.0,-85.0,30.0,-27.0,19.0,-58.8,-8.0,100.0
1.0,0.0,-30.0,1.0,-29.0,-9.0,-58.0,-147.0,-53.0,1.0,-47.0,7.0,-68.0,-149.0,-19.0,0.0,4.0,-1.0,7.0,-5.0,-51.0,-2.0,-124.0,8.0,-208.0,13.0,-37.4,0.6,101.0
1.0,0.0,-70.0,-5.0,-47.0,-15.0,-109.0,37.0,-58.0,-19.0,-31.0,-35.0,-104.0,31.0,-62.0,0.0,-48.0,-3.0,-8.0,7.0,-51.0,-1.0,-41.0,1.0,-95.0,3.0,-58.0,-12.2,102.0
1.0,0.0,-82.0,-11.0,-62.0,-13.0,55.0,-99.0,-65.0,-1.0,-32.0,-2.0,80.0,-102.0,-95.0,4.0,-86.0,-8.0,-44.0,26.0,-71.0,3.0,-36.0,0.0,-2.0,7.0,-69.8,3.0,103.0
1.0,0.0,-75.0,12.0,-61.0,10.0,-89.0,21.0,-27.0,5.0,-18.0,-2.0,-20.0,5.0,-69.0,-2.0,-99.0,9.0,-183.0,-13.0,-36.0,-3.0,-12.0,4.0,6.0,-3.0,-37.0,10.0,104.0
1.0,0.0,-71.0,-14.0,-69.0,-5.0,-67.0,-2.0,-60.0,-8.0,-60.0,-6.0,-74.0,3.0,-58.0,-9.0,-69.0,-1.0,-141.0,-2.0,-64.0,-3.0,-51.0,5.0,-2.0,10.0,-62.0,-5.8,105.0
