0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1.0,86.0,15.0,15.0,6.0,65.0,7.0,-14.0,7.0,36.0,3.0,-44.0,12.0,98.0,11.0,18.0,8.0,92.0,29.0,-27.0,36.0,133.0,33.0,-8.0,7.0,36.4,130.8,92.0
1.0,107.0,10.0,6.0,1.0,124.0,-1.0,-1.0,-17.0,129.0,-5.0,-28.0,-16.0,43.0,-5.0,26.0,-4.0,19.0,10.0,14.0,-2.0,0.0,1.0,15.0,0.0,28.2,135.0,93.0
1.0,20.0,0.0,-1.0,11.0,34.0,3.0,-3.0,21.0,28.0,-2.0,-20.0,7.0,7.0,-1.0,-3.0,-4.0,1.0,-10.0,-6.0,-7.0,-2.0,-3.0,-16.0,-11.0,-1.8,135.2,94.0
1.0,-23.0,-3.0,-25.0,6.0,-29.0,-3.0,-34.0,3.0,-40.0,-4.0,-39.0,-2.0,-21.0,-1.0,-26.0,1.0,-18.0,4.0,-4.0,6.0,3.0,4.0,1.0,3.0,-24.6,138.6,95.0
1.0,-31.0,2.0,-25.0,2.0,-26.0,-4.0,-16.0,-3.0,-14.0,-7.0,-10.0,-7.0,-19.0,-7.0,-15.0,-1.0,-14.0,-14.0,-16.0,-12.0,-21.0,-29.0,6.0,-16.0,-39.4,139.4,96.0
1.0,-11.0,33.0,-13.0,38.0,-13.0,23.0,-16.0,32.0,-20.0,28.0,-14.0,27.0,-11.0,22.0,-9.0,17.0,-5.0,12.0,1.0,14.0,-17.0,9.0,1.0,2.0,-14.8,148.6,97.0
1.0,-3.0,-21.0,1.0,-18.0,-10.0,-22.0,17.0,-20.0,-7.0,-25.0,6.0,-16.0,-7.0,-8.0,-1.0,-12.0,-12.0,-14.0,1.0,-26.0,-4.0,-13.0,-5.0,-19.0,-7.6,179.6,98.0
1.0,-8.0,19.0,-8.0,21.0,7.0,17.0,-15.0,17.0,16.0,3.0,-10.0,9.0,-16.0,5.0,-18.0,7.0,-19.0,0.0,-58.0,-2.0,-5.0,-7.0,-55.0,-5.0,-10.8,167.4,99.0
1.0,-26.0,-4.0,-19.0,-8.0,-34.0,0.0,-24.0,-15.0,-63.0,9.0,-32.0,-28.0,-24.0,-2.0,-13.0,-3.0,2.0,-20.0,10.0,2.0,6.0,-18.0,7.0,-4.0,-19.4,186.6,100.0
1.0,-13.0,3.0,-16.0,7.0,-11.0,2.0,-5.0,10.0,-3.0,-7.0,-3.0,17.0,-10.0,0.0,-14.0,4.0,-13.0,11.0,-5.0,-6.0,-9.0,5.0,2.0,2.0,-17.6,180.0,101.0
1.0,-25.0,-4.0,-18.0,-5.0,-24.0,-3.0,-26.0,-9.0,-30.0,1.0,-6.0,-19.0,-19.0,-7.0,-16.0,-1.0,-65.0,1.0,1.0,0.0,-76.0,7.0,7.0,-15.0,-20.8,184.2,102.0
1.0,24.0,9.0,7.0,-15.0,5.0,10.0,-2.0,-10.0,6.0,25.0,-17.0,-5.0,-4.0,8.0,-10.0,5.0,4.0,26.0,-19.0,21.0,-11.0,16.0,-4.0,11.0,36.0,192.8,103.0
1.0,-7.0,-13.0,-10.0,-8.0,1.0,-13.0,-18.0,2.0,14.0,-23.0,-20.0,14.0,-9.0,-4.0,-19.0,-9.0,-12.0,-15.0,-62.0,-12.0,-12.0,-4.0,-115.0,38.0,-6.8,175.0,104.0
1.0,-69.0,-6.0,-68.0,-5.0,-63.0,0.0,-61.0,2.0,-50.0,4.0,-54.0,17.0,-49.0,2.0,-53.0,4.0,-29.0,4.0,-45.0,27.0,-8.0,20.0,-37.0,19.0,-61.0,158.0,105.0
1.0,-71.0,-15.0,-41.0,-18.0,-89.0,-3.0,-35.0,-6.0,-96.0,-5.0,-31.0,7.0,-59.0,-5.0,-37.0,2.0,-47.0,3.0,-18.0,-6.0,-92.0,14.0,5.0,11.0,-22.6,150.0,106.0
1.0,-54.0,-6.0,51.0,-9.0,-78.0,1.0,67.0,-3.0,-78.0,19.0,115.0,-6.0,-39.0,0.0,-2.0,-7.0,-31.0,-22.0,20.0,-12.0,-6.0,-15.0,-12.0,-1.0,3.6,140.6,107.0
1.0,17.0,6.0,59.0,10.0,42.0,-4.0,67.0,0.0,64.0,-6.0,82.0,-7.0,26.0,2.0,64.0,2.0,24.0,7.0,89.0,-11.0,-2.0,13.0,44.0,-13.0,50.2,141.4,108.0
1.0,94.0,4.0,58.0,3.0,94.0,8.0,51.0,-2.0,92.0,-14.0,11.0,-4.0,90.0,-11.0,78.0,-14.0,20.0,-5.0,99.0,-6.0,15.0,-9.0,194.0,-16.0,39.8,162.4,109.0
1.0,85.0,0.0,44.0,11.0,76.0,1.0,55.0,14.0,54.0,6.0,70.0,12.0,90.0,8.0,65.0,10.0,95.0,9.0,52.0,11.0,30.0,-36.0,47.0,7.0,40.2,155.8,110.0
